"sex","age","statebrn","placebrn","marstat","edyrs","occ","usyrl","usdurl","usdocl","usstatel","usplacel","usmarl","usoccl","uswagel","usbyl","ustrips","reltrip","paistrip","sport","social","chicanos","blacks","asians","anglos","latinos","lodging","english","enghome","engwork","engfrnd","engneig","finhelp","bankacct","card","taxes","consular","rent","food","remit","remit1","remit2","remit3","remit4","remit5","savings","savings1","savings2","savings3","savings4","savings5","schools","unemp","foodst","welfare","afdc","wic","ssi","general","doctor","hospital","hlthpmt1","hlthpmt2","hlthpmt3","hlthpmt4","class"
1,82,11,0,2,2,720,1960,3,2,105,4480,NA,410,4,1,3,2,1,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,2,2,NA,NA,NA,0,0,13,NA,NA,NA,NA,NA,NA,3,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,51,11,0,4,3,522,1982,4,8,105,7485,NA,410,2,1,4,2,1,2,2,2,2,NA,2,1,3,0,NA,NA,NA,NA,6,2,NA,NA,NA,50,30,100,11,8888,8888,8888,8888,20,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,39,11,0,2,9,549,1987,12,8,105,7320,NA,410,6,1,2,2,1,2,2,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,10,60,100,11,8888,8888,8888,8888,20,12,8888,8888,8888,8888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,59,11,0,2,2,720,1970,48,8,105,4480,NA,410,NA,NA,2,2,1,2,2,1,1,NA,1,1,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,0,0,NA,11,9,8888,8888,8888,0,9,8888,8888,8888,8888,2,1,2,2,NA,NA,NA,NA,1,2,4,NA,NA,NA,2
1,56,11,0,2,3,410,1955,24,2,103,NA,NA,410,0.9,1,1,2,1,2,2,1,1,NA,1,1,3,1,NA,NA,NA,NA,3,2,NA,NA,NA,0,0,30,7,8888,8888,8888,8888,100,7,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,64,11,20,2,3,410,1950,360,2,105,4480,NA,410,NA,NA,1,2,1,2,2,1,1,NA,1,2,4,3,NA,NA,NA,NA,4,2,NA,NA,NA,0,0,200,11,8888,8888,8888,8888,0,8888,8888,8888,8888,8888,2,1,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,26,11,20,2,3,522,1978,48,8,105,5945,NA,410,NA,NA,1,1,1,2,2,1,1,NA,1,1,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,36,11,0,2,2,529,1986,8,8,105,4480,NA,410,4.75,1,3,2,1,2,2,1,2,NA,1,2,4,0,NA,NA,NA,NA,4,2,NA,NA,NA,0,120,200,11,8888,8888,8888,8888,0,8,11,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,35,11,0,2,12,719,1980,48,8,105,4480,NA,526,NA,NA,4,2,2,1,1,2,2,NA,1,1,2,3,NA,NA,NA,NA,3,2,NA,NA,NA,300,300,200,2,8888,8888,8888,8888,100,2,8888,8888,8888,8888,2,1,2,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,79,11,0,2,0,529,1924,360,8,126,3760,NA,549,2.2,1,1,2,2,2,2,1,1,NA,1,1,NA,0,NA,NA,NA,NA,6,2,NA,NA,NA,0,20,12,11,8888,8888,8888,8888,0,16,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,1,2,4,NA,NA,NA,2
1,44,11,0,3,2,819,1968,156,1,105,4480,NA,549,7,1,1,2,2,1,1,1,1,NA,1,1,3,4,NA,NA,NA,NA,3,2,NA,NA,NA,75,120,600,11,8888,8888,8888,8888,NA,2,8888,8888,8888,8888,1,1,1,1,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,41,11,0,2,6,419,1987,6,8,105,7320,NA,810,NA,NA,5,2,1,2,2,1,1,NA,1,1,4,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,75,11,8888,8888,8888,8888,NA,8,8888,8888,8888,8888,1,1,1,1,NA,NA,NA,NA,1,1,4,NA,NA,NA,1
1,63,11,0,2,0,529,1961,6,2,105,NA,NA,410,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,69,11,0,2,2,529,1962,14,2,144,NA,NA,410,NA,NA,6,2,2,2,2,2,2,NA,2,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,0,NA,NA,11,8888,8888,8888,8888,NA,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,52,11,0,2,2,410,1985,6,5,129,6720,NA,549,NA,NA,3,1,2,2,2,1,1,NA,1,1,4,2,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,200,2,8888,8888,8888,8888,150,5,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
2,51,11,0,1,0,20,1982,24,8,129,6720,NA,820,NA,NA,1,2,2,2,2,2,1,NA,1,1,4,3,NA,NA,NA,NA,4,2,NA,NA,NA,200,200,NA,2,8888,8888,8888,8888,200,2,8888,8888,8888,8888,1,2,2,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,57,11,0,2,2,410,1977,24,8,144,1240,NA,410,1.5,1,4,2,1,2,2,1,1,NA,1,1,2,0,NA,NA,NA,NA,NA,2,NA,NA,NA,0,15,10,11,8888,8888,8888,8888,NA,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,2
1,43,11,20,2,3,529,1972,14,8,114,1600,NA,549,NA,NA,1,2,1,2,2,2,2,NA,1,1,1,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,50,11,8888,8888,8888,8888,NA,2,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,35,11,0,2,6,549,1978,60,8,114,1600,NA,549,NA,NA,2,2,2,2,2,2,2,NA,2,1,2,3,NA,NA,NA,NA,4,2,NA,NA,NA,100,40,0,8888,8888,8888,8888,8888,100,3,8888,8888,8888,8888,1,2,2,2,NA,NA,NA,NA,1,1,4,NA,NA,NA,2
1,54,11,0,2,3,559,1950,6,2,114,1600,NA,410,1,1,1,2,2,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,0,12,NA,12,8888,8888,8888,8888,20,2,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,39,11,0,2,2,522,1988,3,8,199,NA,NA,410,NA,NA,1,1,2,2,2,2,2,NA,2,1,4,0,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,35,11,0,2,6,559,1980,12,8,105,7320,NA,810,3,1,1,1,1,2,2,2,2,NA,2,2,2,0,NA,NA,NA,NA,2,2,NA,NA,NA,50,50,100,8,8888,8888,8888,8888,100,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,21,11,0,2,6,549,1987,15,8,138,NA,NA,549,NA,NA,1,1,1,2,2,2,2,NA,1,1,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,100,250,11,8888,8888,8888,8888,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,1
1,59,11,0,2,1,410,1969,3,8,199,NA,NA,410,NA,NA,1,1,1,2,2,2,1,NA,1,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,12,8888,8888,8888,8888,NA,2,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
